"User","ID","Display Name","Discriminator","Nickname","Mention","Color","Avatar URL","Joined Date","Created Date","Boosted Date","Top Role","Admin","Add Reactions","Admin","Attach Files","Ban Members","Change Nickname","Connect to Voice","Create Invites","Deafen Others","Embed Links","External Emojis","Kick Members","Manage Channels","Manage Emojis","Manage Server","Manage Messages","Manage Nicknames","Manage Roles","Manage Webhooks","Mention everyone","Move Members","Mute Members","Priority Speaker","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","View Audit Log","View Server Insights","@everyone","NFTfi","MemberList","Apollo","artbot","Bot Magician","Server Booster","Artist","Curated Artist","Curator","Mod"
"JustBanter | PANDA-MAXI#2835","470612676444291103","JustBanter | PANDA-MAXI","#2835","","<@470612676444291103>","#000000","https://cdn.discordapp.com/avatars/470612676444291103/86857c4b222ab8658709933c7c006f0d.webp?size=1024","2021-02-16","2018-07-22","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"zannkvlt#0666","696972347453734912","zannkvlt","#0666","","<@696972347453734912>","#000000","https://cdn.discordapp.com/avatars/696972347453734912/e3c24ebb65bd956a45305df8c96f9910.webp?size=1024","2021-03-12","2020-04-07","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"RobertH#8490","683003512237457430","RobertH","#8490","","<@683003512237457430>","#000000","https://cdn.discordapp.com/avatars/683003512237457430/a_fb14b99d2f30fe9068c63facb2d41b92.gif?size=1024","2021-03-17","2020-02-28","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"snax#6922","403065718914154516","snax","#6922","","<@403065718914154516>","#000000","https://cdn.discordapp.com/avatars/403065718914154516/c98a4b60d4fcc77bad0b817699cf9904.webp?size=1024","2020-12-07","2018-01-17","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"Blockhead#6864","267147550585257994","Blockhead","#6864","","<@267147550585257994>","#000000","https://cdn.discordapp.com/avatars/267147550585257994/04051630c7d8b76674b83a058faadfcb.webp?size=1024","2021-02-22","2017-01-07","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"MarinaLouar#4768","822094701519175681","MarinaLouar","#4768","","<@822094701519175681>","#000000","https://cdn.discordapp.com/embed/avatars/3.png","2021-03-18","2021-03-18","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"AdamOnChain#7212","757889308870049872","AdamOnChain","#7212","","<@757889308870049872>","#000000","https://cdn.discordapp.com/avatars/757889308870049872/ba86975feb58ced0b278d6f3763b6493.webp?size=1024","2021-02-14","2020-09-22","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"dnaclan2#8354","498148325418205184","dnaclan2","#8354","","<@498148325418205184>","#000000","https://cdn.discordapp.com/avatars/498148325418205184/f78eb1d1f4f3f715a931a2e21f75b879.webp?size=1024","2021-02-27","2018-10-06","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
"PerilousMB#0891","277270423966711809","PerilousMB","#0891","","<@277270423966711809>","#000000","https://cdn.discordapp.com/avatars/277270423966711809/6bdfdbb627a2c5c47855cf310670825e.webp?size=1024","2021-04-13","2017-02-04","","@everyone","","Add Reactions","","Attach Files","","Change Nickname","Connect to Voice","Create Invites","","Embed Links","External Emojis","","","Manage Emojis","","","","","","","","","","Read Message History","View Channels","Request to Speak","Send Messages","Send TTS Messages","Speak","Video","Use Slash Commands","Use Voice Activity","","","@everyone","","","","","","","","","",""
